"GO.ID","Term","Annotated","Significant","Expected","Rank in classic","weight01","classic"
"GO:0030667","secretory granule membrane",4,1,0.01,2,0.0051,0.0051
"GO:0098981","cholinergic synapse",6,1,0.01,3,0.0077,0.0077
"GO:0031312","extrinsic component of organelle membrane",10,1,0.01,5,0.0127,0.0127
"GO:0031045","dense core granule",10,1,0.01,6,0.0127,0.0127
"GO:0031594","neuromuscular junction",19,1,0.02,9,0.0241,0.0241
"GO:0005634","nucleus",2920,7,3.74,20,0.0327,0.0579
"GO:0000118","histone deacetylase complex",28,1,0.04,13,0.0353,0.0353
"GO:0000785","chromatin",251,2,0.32,15,0.0401,0.0401
"GO:0031201","SNARE complex",32,1,0.04,16,0.0402,0.0402
"GO:0008021","synaptic vesicle",47,1,0.06,21,0.0586,0.0586
"GO:0005769","early endosome",60,1,0.08,25,0.0742,0.0742
"GO:0005886","plasma membrane",1846,5,2.36,26,0.0749,0.0749
"GO:0098793","presynapse",122,2,0.16,4,0.0867,0.0104
"GO:0000228","nuclear chromosome",97,1,0.12,33,0.1173,0.1173
"GO:0010008","endosome membrane",110,1,0.14,34,0.1321,0.1321
"GO:0005774","vacuolar membrane",116,1,0.15,37,0.1388,0.1388
"GO:0005938","cell cortex",133,1,0.17,38,0.1575,0.1575
"GO:0005764","lysosome",179,1,0.23,40,0.2063,0.2063
"GO:0005737","cytoplasm",4753,10,6.09,17,0.2068,0.0414
"GO:0005794","Golgi apparatus",371,1,0.48,46,0.3829,0.3829
"GO:0140535","intracellular protein-containing complex",453,1,0.58,47,0.4465,0.4465
"GO:0005829","cytosol",626,1,0.8,51,0.561,0.561
"GO:0005739","mitochondrion",752,1,0.96,53,0.63,0.63
"GO:1902494","catalytic complex",847,2,1.09,44,0.6395,0.2965
"GO:0016020","membrane",6918,8,8.86,60,0.967,0.7544
"GO:0031974","membrane-enclosed lumen",797,1,1.02,57,1,0.652
"GO:0097708","intracellular vesicle",423,2,0.54,29,1,0.1005
"GO:0005768","endosome",199,1,0.25,42,1,0.2267
"GO:0031090","organelle membrane",1219,3,1.56,39,1,0.2005
"GO:0005654","nucleoplasm",302,1,0.39,45,1,0.3242
"GO:0030659","cytoplasmic vesicle membrane",231,2,0.3,12,1,0.0345
"GO:0099503","secretory vesicle",74,2,0.09,1,1,0.0039
